Wall time,Step,Value
1770731576.069906,487,86.95238494873047
1770731591.9467902,489,66.08405303955078
1770731599.4211695,490,56.05290603637695
1770731620.061727,492,57.48540496826172
1770731627.8678606,493,29.940670013427734
1770731637.1309915,494,40.914398193359375
1770731664.2676585,497,51.1487922668457
1770731675.9041042,498,77.46161651611328
1770731692.2263196,500,61.46490478515625
1770731743.3903935,504,65.3938980102539
1770731766.6050112,507,62.84505081176758
1770731778.3358319,508,93.41512298583984
1770731786.0244007,509,75.49585723876953
1770731795.7085207,510,94.59972381591797
1770731803.6184819,511,62.4471435546875
1770731815.2935834,512,64.75421905517578
1770731819.0075793,513,48.71598815917969
1770731832.8863914,515,30.876745223999023
1770731840.2923865,516,43.11422348022461
1770731850.369201,517,14.078141212463379
1770731856.8678107,518,45.94834899902344
1770731861.85276,519,36.91386413574219
1770731873.6795824,520,8.533696174621582
1770731898.767302,521,25.12925148010254
1770731929.6836472,525,28.77373504638672
1770731938.3826187,526,30.212610244750977
1770731970.5360825,532,29.7877197265625
1770731978.861521,534,31.664817810058594
1770731985.1195223,535,79.54428100585938
1770731992.2514482,536,70.49986267089844
1770731997.3124022,537,59.143409729003906
1770732002.276379,538,93.99917602539062
1770732007.4327836,539,58.11807632446289
1770732013.8387876,540,49.58590316772461
1770732038.7456036,541,35.979347229003906
1770732047.4664266,542,24.193906784057617
1770732051.742462,543,48.41558074951172
1770732063.9534602,544,22.865352630615234
1770732074.590593,545,24.84269905090332
1770732080.5604148,546,22.904314041137695
1770732085.3688426,547,65.03334045410156
1770732090.1853106,548,32.719947814941406
1770732094.93627,549,79.64937591552734
1770732099.84369,550,49.24247741699219
1770732108.0294514,552,51.62331771850586
1770732112.4954996,553,65.20277404785156
1770732119.5770679,554,36.03949737548828
1770732133.8106015,556,59.8754768371582
1770732150.8704886,558,47.638797760009766
1770732167.62759,560,65.0478286743164
1770732200.7148008,561,51.50251770019531
1770732222.687577,564,31.84506607055664
1770732230.71464,565,38.04612350463867
1770732242.7444043,566,40.31679916381836
1770732262.0350726,568,36.6684684753418
1770732272.6506557,569,78.3298110961914
1770732284.9491677,570,22.397621154785156
1770732303.1920342,572,45.15537643432617
1770732324.7405033,574,47.529457092285156
1770732331.00619,575,66.55789184570312
1770732350.6401608,577,70.84614562988281
1770732358.1718342,578,46.18180847167969
1770732366.5803037,579,71.67159271240234
1770732376.092546,580,111.14576721191406
1770732398.0841672,581,75.128662109375
1770732408.9986193,582,75.77872467041016
1770732419.3145134,583,62.25897216796875
1770732430.1513686,584,105.46517944335938
1770732439.6034381,585,108.7459945678711
1770732460.3181925,587,86.38204193115234
1770732471.8332894,588,44.877716064453125
1770732478.6442623,589,80.57060241699219
1770732496.1259918,592,95.45964813232422
1770732503.6007612,593,106.72990417480469
1770732512.4661493,594,51.73509216308594
1770732531.8512597,596,50.06007385253906
1770732538.8750315,597,62.2049560546875
1770732550.8349192,598,63.986412048339844
1770732558.231422,599,82.10778045654297
1770732598.1476352,601,83.49056243896484
1770732615.2257805,603,105.93077087402344
1770732623.77386,604,98.36050415039062
1770732627.6573102,605,97.56482696533203
1770732638.332225,607,86.30374908447266
1770732652.0803945,609,35.540443420410156
1770732669.2854364,611,54.814693450927734
1770732675.966069,612,95.01089477539062
1770732684.9509397,613,83.36808013916016
1770732710.4198966,616,168.05221557617188
1770732747.6994236,620,105.92147827148438
1770732773.3612475,621,124.17374420166016
1770732784.7132678,622,55.911808013916016
1770732794.7082262,623,169.26080322265625
1770732806.542236,624,121.69376373291016
1770732825.7680213,626,61.30208206176758
1770732832.9720118,627,142.2638702392578
1770732860.136769,630,167.35850524902344
1770732866.807997,631,144.69259643554688
1770732877.5356817,633,101.18765258789062
1770732892.9995666,635,88.94408416748047
1770732900.1448052,636,113.78997039794922
1770732920.4816203,639,137.60018920898438
1770732979.4308639,641,90.12789154052734
1770732984.9044247,642,125.82952880859375
1770732994.3871353,643,116.39875030517578
1770733007.0614028,645,86.0896987915039
1770733014.4742987,646,88.9052734375
1770733019.5390987,647,119.84037017822266
1770733025.641391,648,106.2562026977539
1770733036.2672915,649,73.46379852294922
1770733048.3028257,650,61.38596725463867
1770733054.9942536,651,104.01313018798828
1770733060.4776626,652,123.43742370605469
1770733067.3371618,653,87.58358001708984
1770733093.0468676,657,86.34806823730469
1770733099.321155,658,172.33729553222656
1770733112.5969684,660,116.9132080078125
1770733149.7600963,662,86.68111419677734
1770733155.4924295,663,92.12447357177734
1770733166.7709975,664,111.94692993164062
1770733176.9423316,665,117.3653793334961
1770733183.5773144,666,130.76275634765625
1770733189.4833736,667,138.8396453857422
1770733201.3247273,668,103.28553771972656
1770733208.8014312,669,104.34131622314453
1770733217.2816846,670,160.22372436523438
1770733236.8455732,672,119.85169982910156
1770733241.5794368,673,152.77947998046875
1770733247.4076552,674,129.1909942626953
1770733253.4074605,675,203.85888671875
1770733261.7285426,676,178.46524047851562
1770733277.462829,678,195.97850036621094
1770733281.6982787,679,232.9217529296875
1770733289.7649405,680,272.7637634277344
1770733310.5194817,682,253.29949951171875
1770733315.1353307,683,251.39866638183594
1770733320.1743712,684,174.90953063964844
1770733324.204559,685,195.8717498779297
1770733328.9356084,686,229.8938446044922
1770733335.5420005,687,164.28436279296875
1770733341.0634105,688,226.47122192382812
1770733346.1708841,689,212.16062927246094
1770733351.4816864,690,187.04051208496094
1770733377.8386354,693,182.6724090576172
1770733391.8229907,695,141.98109436035156
1770733408.5225265,697,214.9326934814453
1770733424.733374,700,162.56951904296875
1770733439.3004603,701,192.43099975585938
1770733444.1375272,702,158.77752685546875
1770733450.1303144,703,143.0619354248047
1770733458.1502175,704,138.16896057128906
1770733462.3033087,705,163.68943786621094
